URL,filename,device_class,device_count,market_class,market_volume,prognosis_year,publication_year,authorship_class
http://i.imgur.com/y7ItXsO.jpg,file7_y7ItXsO.txt,smart,2000000000000,revenue,20000000000000,2020,2014,scientist
https://i2.wp.com/internetofmorethings.com/wp-content/uploads/2017/01/iot-security-infographic.jpg,file5_iot-security-infographic.txt,mobile,16000000000000,revenue,0.25,2021,2016,scientist
" https://wotch.com.au/wp-content/uploads/2018/04/Connected-Home-of-the-Future_BlueDuotone-iot-infographics-e1523404369979.png",file3_Connected-Home-of-the-Future_BlueDuotone-iot-infographics-e1523404369979.txt,home,29,invest.,996000000,2020,2016,scientist
" https://wotch.com.au/wp-content/uploads/2018/04/Connected-Home-of-the-Future_BlueDuotone-iot-infographics-e1523404369979.png",file3_Connected-Home-of-the-Future_BlueDuotone-iot-infographics-e1523404369979.txt,home,29,invest.,635000000,2020,2016,scientist
" https://wotch.com.au/wp-content/uploads/2018/04/Connected-Home-of-the-Future_BlueDuotone-iot-infographics-e1523404369979.png",file3_Connected-Home-of-the-Future_BlueDuotone-iot-infographics-e1523404369979.txt,home,29,invest.,1700000000000,2020,2016,scientist
https://iot.telefonica.com/sites/default/files/2017_iot_trends_eng_960_3.png,file3_2017_iot_trends_eng_960_3.txt,Personal,50000000000,,,2020,2016,journalist
https://iot.telefonica.com/sites/default/files/2017_iot_trends_eng_960_3.png,file3_2017_iot_trends_eng_960_3.txt,"Smart Industry",50000000000,,,2020,2016,scientist
https://iot.telefonica.com/sites/default/files/2017_iot_trends_eng_960_3.png,file3_2017_iot_trends_eng_960_3.txt,,,revenue,88700000000,2025,2017,sientist
https://iot.telefonica.com/sites/default/files/2017_iot_trends_eng_960_3.png,file3_2017_iot_trends_eng_960_3.txt,,,size,215530000000$,2022,2017,journalist
https://iot.telefonica.com/sites/default/files/2017_iot_trends_eng_960_3.png,file3_2017_iot_trends_eng_960_3.txt,Vehicle,990000000,,,2025,2016,sientist
https://iot.telefonica.com/sites/default/files/2017_iot_trends_eng_960_3.png,file3_2017_iot_trends_eng_960_3.txt,Vehicle,10000000,,,2020,2016,journalist
https://iot.telefonica.com/sites/default/files/2017_iot_trends_eng_960_3.png,file3_2017_iot_trends_eng_960_3.txt,,,size,162000000000$,2020,2016,sientist
https://iot.telefonica.com/sites/default/files/2017_iot_trends_eng_960_3.png,file3_2017_iot_trends_eng_960_3.txt,Personal,27000000000,,,2025,2017,journalist
https://media.mushroomnetworks.com/wp-content/IOT-infographic-2017.jpg,file5_IOT-infographic-2017.txt,"Generic IoT",50000000000,,,2020,2010,scientist
https://media.mushroomnetworks.com/wp-content/IOT-infographic-2017.jpg,file5_IOT-infographic-2017.txt,"Generic IoT",42100000000,,,2019,,blogger
https://media.mushroomnetworks.com/wp-content/IOT-infographic-2017.jpg,file5_IOT-infographic-2017.txt,"Generic IoT",50100000000,,,2020,,blogger
http://www.maduramaha.com/wp-content/uploads/2016/12/How-Will-The-Internet-Of-Things-Transform-The-World-By-2020.png,file9_How-Will-The-Internet-Of-Things-Transform-The-World-By-2020.txt,"Generic IoT",24000000000,,,2020,,blogger
http://www.maduramaha.com/wp-content/uploads/2016/12/How-Will-The-Internet-Of-Things-Transform-The-World-By-2020.png,file9_How-Will-The-Internet-Of-Things-Transform-The-World-By-2020.txt,,,invest.,6000000000000$,2020,2015,blogger
http://www.maduramaha.com/wp-content/uploads/2016/12/How-Will-The-Internet-Of-Things-Transform-The-World-By-2020.png,file9_How-Will-The-Internet-Of-Things-Transform-The-World-By-2020.txt,,,profit,13000000000000$,2025,2015,blogger
http://www.maduramaha.com/wp-content/uploads/2016/12/How-Will-The-Internet-Of-Things-Transform-The-World-By-2020.png,file9_How-Will-The-Internet-Of-Things-Transform-The-World-By-2020.txt,Personal,5000000000,,,2020,2015,
http://www.maduramaha.com/wp-content/uploads/2016/12/How-Will-The-Internet-Of-Things-Transform-The-World-By-2020.png,file9_How-Will-The-Internet-Of-Things-Transform-The-World-By-2020.txt,,,invest.,900000000,2020,2015,blogger
http://www.maduramaha.com/wp-content/uploads/2016/12/How-Will-The-Internet-Of-Things-Transform-The-World-By-2020.png,file9_How-Will-The-Internet-Of-Things-Transform-The-World-By-2020.txt,,,profit,400000000,2025,2015,blogger
