"IoTNumb3rs Datenerfassung",,,,,,,,,
,,,,,,,,,
"Daten aus den Inforgrafiken sind manuell zu extrahieren. Es sollen Werte zu den folgenden Merkmalen extrahiert werden.","Hinweis: Nicht alle Merkmale sind zwingend in allen Infografiken vorhanden. ",,,,,,,,
,,,,,,,,,
Merkmal:,Erläuterung,,,"device_class classification","Was gehört dazu:",,,,
URL,"die URL wie im Textfile zur Infografik angegeben",,,"Generic IoT","Alle Prognosen, bei denen von allgemeinen IoT devices gesprochen wird",,,,
filename,"Dateiname wie im Textfile zur URL angegeben",,,Smartphone,"Telefone mit ""smart"" Funktionen.",,,,
device_class,"Geräteklasse, anhand der ""device_class classification"" angeben",,,Vehicle,"Alle Prognosen, bei denen von Autos oder Transport in Fahrzeugen gesprochen wird.",,,,
device_count,"Anzahl der Geräte aus der device_class",,,"Smart Home","Alle Geräte für den Haushalt, ob Kühlschrank oder Rolladen",,,,
market_class,"Art der Marktkennzahl, z.B. revenue, profit, size",,,Entertainment,"Smart TV, Cameras…",,,,
market_volume,"Zahlenwert der Marktkennzahl",,,Wearables,"Fitbit, Smartwatch..",,,,
prognosis_year,"Prognosejahr, für das die IoT Grafik Voraussagen trifft",,,"Smart Industry","Fertigungsroboter, Herstellung, Fabriken…",,,,
publication_year,"Jahr, in dem die Infografik erstellt wurde",,,Undefined,"Wenn der Device Type nicht zu einer der oberen Klassifizierungen zugeordnet werden kann",,,,
authorship_class,"Einordnung des Autors: scientist, consultant, journalist, blogger",,,,,,,,
,,,,,,,,,
,,,,,,,,,
Beispieltabelle,,,,,,,,,
,,,,,,,,,
URL,filename,device_class,device_count,market_class,market_volume,prognosis_year,publication_year,authorship_class,"Dropbox folder"
https://etimg.etb2bimg.com/photo/64867136.cms,file2_64867136.txt,personal,,,,2020,2018,journalist,141018
https://etimg.etb2bimg.com/photo/64867136.cms,file2_64867136.txt,personal,75440000000,,,2025,2018,journalist,141018
http://it2industry.blog.messe-muenchen.de/wp-content/uploads/2014/11/The-Internet-of-Things-IoT-FOW-Community-Infographic.png,file3_The-Internet-of-Things-IoT-FOW-Community-Infographic.txt,personal,26000000000,,,2020,2014,blogger,141018
http://it2industry.blog.messe-muenchen.de/wp-content/uploads/2014/11/The-Internet-of-Things-IoT-FOW-Community-Infographic.png,file3_The-Internet-of-Things-IoT-FOW-Community-Infographic.txt,personal,50000000000,,,2020,2014,blogger,141018
http://it2industry.blog.messe-muenchen.de/wp-content/uploads/2014/11/The-Internet-of-Things-IoT-FOW-Community-Infographic.png,file3_The-Internet-of-Things-IoT-FOW-Community-Infographic.txt,personal,200000000000,,,2020,2014,blogger,141018
http://it2industry.blog.messe-muenchen.de/wp-content/uploads/2014/11/The-Internet-of-Things-IoT-FOW-Community-Infographic.png,file3_The-Internet-of-Things-IoT-FOW-Community-Infographic.txt,personal,212000000000,,,2020,2014,blogger,141018
http://it2industry.blog.messe-muenchen.de/wp-content/uploads/2014/11/The-Internet-of-Things-IoT-FOW-Community-Infographic.png,file3_The-Internet-of-Things-IoT-FOW-Community-Infographic.txt,,,size,8900000000000,2020,2014,blogger,141018
http://it2industry.blog.messe-muenchen.de/wp-content/uploads/2014/11/The-Internet-of-Things-IoT-FOW-Community-Infographic.png,file3_The-Internet-of-Things-IoT-FOW-Community-Infographic.txt,,,size,14400000000000,2022,2014,blogger,141018
https://www.visioncritical.com/wp-content/uploads/2017/04/AIG_IoT_Infographic.jpg,file1_AIG_IoT_Infographic.txt,personal,50000000000,,,2020,2017,company,151018
https://www.visioncritical.com/wp-content/uploads/2017/04/AIG_IoT_Infographic.jpg,file1_AIG_IoT_Infographic.txt,,,profit,,2020,2017,company,151018
https://de.control4.com/files/large/e042a193e6b82371b834c71864868c7b.jpg,file2_e042a193e6b82371b834c71864868c7b.txt,home,40000000000,,,2020,2014,journalist,151018
